,0,0,0
136,Aiden Williamson,0.08252085299999999,0.055744145
137,Chandler Hutchison,0.082425003,0.06426236
138,Carlos Boozer,0.081778554,0.05098245
139,Byron Scott*,0.08173506400000001,0.086582154
140,Cuttino Mobley,0.079562127,0.14681241
141,Cameron Parker,0.07908596400000001,0.08418748
142,Alex Reese,0.076924502,0.13486001
143,Clyde Drexler,0.07637005200000001,0.073542565
144,Alex Schmidt,0.075631182,0.09071538
145,Brad Daugherty,0.075073314,0.0021819803
146,Cecil Exum,0.074453672,0.14746282
147,Arvydas Sabonis,0.073551637,0.13681027
148,Byron Scott,0.073048383,0.1271362
149,Clarence Withers,0.071917201,0.055961583
150,Chris Chiozza,0.070534138,0.14984986
151,Charles Barkley*,0.070486486,0.063583344
152,Chris Porter,0.07021199,0.15832517
153,Chuck Person,0.069795918,0.092902154
154,Bones McKinney,0.068142752,0.14611337
155,Cuttino Mobley,0.066558189,0.1307716
156,Ben McLemore,0.06419019299999999,0.09145352
157,Benji Wilson,0.063284224,0.16048047
158,Bob Rule,0.062626788,0.0155267455
159,Carsen Edwards,0.056144352,0.033830617
160,Charles Barkley*,0.054480904000000004,0.034092877
161,Benji Wilson,0.054257426,0.06396577
162,Chandler Hutchison,0.054216977,0.08553693
163,Austin Wiley,0.053036212,0.07451913
164,Anas Mahmoud,0.05182917,0.024094556
165,Ajdin Penava,0.051418980999999996,0.0666599
166,Clyde Drexler,0.04839216599999999,0.121471375
167,Carlos Boozer,0.048039056,0.027751897
168,Chris Mihm,0.046655684,0.0321779
169,Brad Daugherty,0.044043849,0.0049638483
170,Chris Childs,0.043918885,0.025796864
171,Carlos Boozer,0.042719140999999995,0.020087216
172,Ayo Dosunmu,0.038266768,0.012813542
173,Brian Scalabrine,0.037682067,0.0737457
174,Ayo Dosunmu,0.037277719,0.001252148
175,Brad Daugherty,0.035817142,0.010969136
176,Charles Barkley,0.035592668,0.11583421
177,Brendan Haywood,0.030846791000000002,0.011815999
178,Charlie Bell,0.02952449,0.021772359
179,Aljami Durham,0.024208463,0.03755567
180,Carsen Edwards,0.021827922000000003,0.03740594
181,Bison Dele,0.021484099,0.08867261
182,Ayo Dosunmu,0.020185317,0.01969907
183,Alfonso Wilkens,0.018183661,0.014520619
184,Bernie Williams,0.016397516,0.0026988718
185,CJ McCollum,0.015509782,0.01704118
186,CJ McCollum,0.013751705,0.015801404
187,Aljami Durham,0.01060008,-0.017127063
188,Ben McLemore,0.009884267,0.06465432
189,Carlos Boozer,0.007014614000000001,0.020328496
190,Carsen Edwards,0.006439249,-0.017849948
191,Bud Ogden,0.005561993,0.05351541
192,BJ Armstrong,0.005555616,0.082437485
193,Bud Ogden,0.005521603000000001,0.10172555
194,Austin Wiley,0.0007042810000000001,0.0522289
195,Alvin Oakley,-0.009660107,-0.067399055
196,Butch Beard,-0.013244973,0.025052998
197,Brendan Haywood,-0.01560366,0.012548421
198,Carlos Arroyo,-0.03516184,-0.059419658
199,Butch Beard,-0.036676558,0.0031041834
200,Alvin Oakley,-0.037719978,-0.05211165
201,Butch Beard,-0.038310732,-0.11187461
